id,video_name,status,created_at,original_submission
26813314,Test,pending,2025-10-27 10:53:33.224222+00,Test
22486430,fluch_performance,pending,2025-10-27 08:59:25.065027+00,fluch_performance
86974931,paralyse_performance,pending,2025-10-27 08:58:49.200664+00,paralyse_performance
75833541,herz_performance,pending,2025-10-27 08:58:22.121987+00,herz_performance
42095691,heim-wollen_performance,pending,2025-10-27 08:57:47.945599+00,heim-wollen_performance
21169898,nuechtern-und-dicht_performance,pending,2025-10-27 08:57:20.93647+00,nuechtern-und-dicht_performance
13385162,tust-mir-nicht-gut_performance,pending,2025-10-27 08:56:40.491042+00,tust-mir-nicht-gut_performance
64952057,C_Personal04,archived,2025-10-16 07:10:52.220891+00,C_Personal04
08049123,Ist euch aufgefallen,pending,2025-10-14 15:07:23.239207+00,Ist euch aufgefallen
67139815,pers08,archived,2025-10-13 15:09:15.817493+00,pers08
52214908,pers07,archived,2025-10-13 15:08:35.296731+00,pers07
10538068,pers06,archived,2025-10-13 15:07:46.62965+00,pers06
30067595,C_Personal03,archived,2025-10-10 13:03:39.320813+00,C_Personal03
07028533,Phone drop,pending,2025-10-10 13:03:16.245078+00,Phone drop
14149625,C_Personal02,archived,2025-10-08 07:10:56.333396+00,C_Personal02
36619845,Trondheim AD??,pending,2025-10-08 07:10:27.651986+00,Trondheim AD??
67273291,Trondheim Ad. With safezones 1,pending,2025-10-07 09:35:45.334813+00,Trondheim Ad. With safezones 1
99213289,Trondheim Ad. With safezones 2,pending,2025-10-07 09:35:26.892079+00,Trondheim Ad. With safezones 2
04114662,Trondheim Ad. With safezones 3,pending,2025-10-07 09:35:21.728031+00,Trondheim Ad. With safezones 3
89666387,Trondheim Ad. With safezones 4,pending,2025-10-07 09:35:16.462753+00,Trondheim Ad. With safezones 4
94895935,Personal_73 Dinge,archived,2025-10-06 08:39:03.564473+00,Personal_73 Dinge
40784978,C_Personal01,active,2025-10-01 11:21:29.349123+00,C_Personal01
62346322,Unsicher,active,2025-09-29 17:02:28.603691+00,Unsicher
95143654,Leichter als man denkt,active,2025-09-29 17:02:18.855637+00,Leichter als man denkt
24280337,Herzimfarkte ,active,2025-09-29 17:02:13.157149+00,Herzimfarkte 
41010772,Sketch 2,active,2025-09-26 13:04:08.66965+00,Sketch 2
34374454,Bare Minimum Liste,active,2025-09-26 13:03:50.736471+00,Bare Minimum Liste
71218350,Personal_Freier Wille,archived,2025-09-25 14:45:46.694657+00,Personal_Freier Wille
88922923,Gig story: pub,pending,2025-09-25 14:32:18.599576+00,Gig story: pub
62653499,Mein Kumpel,archived,2025-09-24 13:40:33.564754+00,Mein Kumpel
40033112,Leo - Personal 06,archived,2025-09-24 07:11:00.087436+00,Leo - Personal 06
19905167,EDU_IW Robin 4_11_Die Mischung machts!,pending,2025-09-23 12:36:59.467452+00,EDU_IW Robin 4_11_Die Mischung machts!
56435197,EDU_Artist Growth LIVE Workshop 8_Accountanalyse Benzo (Abklärung Artist) ,pending,2025-09-23 12:36:56.065819+00,EDU_Artist Growth LIVE Workshop 8_Accountanalyse Benzo (Abklärung Artist) 
74816122,EDU_Makhulo 8_Niemand interessiert sich für dich wenn du nur alle 2 Monate postest,pending,2025-09-23 12:36:26.270354+00,EDU_Makhulo 8_Niemand interessiert sich für dich wenn du nur alle 2 Monate postest
88448141,EDU_Popakademie 5_Jede Information ist hilfreich,pending,2025-09-23 12:36:21.638188+00,EDU_Popakademie 5_Jede Information ist hilfreich
04492479,REA_Andrew Southworth 1_Hypeddit Pixel funktioniert nicht,pending,2025-09-23 12:36:18.527713+00,REA_Andrew Southworth 1_Hypeddit Pixel funktioniert nicht
